location_unit,location_id,feature_window,scoring_period,april_volume_actual,workload_score,predicted_tier,high_workload_area_true,top_factors,model,model_version,feature_set_version,generated_at,advisory
fsa,M9W,2026-01..2026-03,2026-04,488,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6J,2026-01..2026-03,2026-04,637,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6H,2026-01..2026-03,2026-04,816,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6G,2026-01..2026-03,2026-04,754,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6E,2026-01..2026-03,2026-04,628,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6C,2026-01..2026-03,2026-04,456,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4J,2026-01..2026-03,2026-04,700,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4K,2026-01..2026-03,2026-04,551,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4E,2026-01..2026-03,2026-04,465,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4C,2026-01..2026-03,2026-04,646,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4L,2026-01..2026-03,2026-04,653,1.0,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5V,2026-01..2026-03,2026-04,493,0.9999,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5T,2026-01..2026-03,2026-04,444,0.9999,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M9C,2026-01..2026-03,2026-04,467,0.9999,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1C,2026-01..2026-03,2026-04,596,0.9999,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1W,2026-01..2026-03,2026-04,624,0.9998,high,1,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4S,2026-01..2026-03,2026-04,337,0.0002,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M8V,2026-01..2026-03,2026-04,408,0.0001,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4A,2026-01..2026-03,2026-04,144,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3N,2026-01..2026-03,2026-04,233,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3M,2026-01..2026-03,2026-04,252,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3L,2026-01..2026-03,2026-04,164,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3K,2026-01..2026-03,2026-04,117,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3J,2026-01..2026-03,2026-04,213,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3C,2026-01..2026-03,2026-04,189,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3B,2026-01..2026-03,2026-04,208,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M2M,2026-01..2026-03,2026-04,337,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M3A,2026-01..2026-03,2026-04,326,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M2R,2026-01..2026-03,2026-04,315,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M2P,2026-01..2026-03,2026-04,113,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M2K,2026-01..2026-03,2026-04,195,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M2L,2026-01..2026-03,2026-04,183,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M2H,2026-01..2026-03,2026-04,223,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M2J,2026-01..2026-03,2026-04,413,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1G,2026-01..2026-03,2026-04,297,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1M,2026-01..2026-03,2026-04,406,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1X,2026-01..2026-03,2026-04,139,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1V,2026-01..2026-03,2026-04,402,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1S,2026-01..2026-03,2026-04,409,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1T,2026-01..2026-03,2026-04,375,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1R,2026-01..2026-03,2026-04,415,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1P,2026-01..2026-03,2026-04,411,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1H,2026-01..2026-03,2026-04,245,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M1J,2026-01..2026-03,2026-04,341,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4W,2026-01..2026-03,2026-04,252,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4N,2026-01..2026-03,2026-04,281,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4H,2026-01..2026-03,2026-04,74,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4G,2026-01..2026-03,2026-04,377,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4P,2026-01..2026-03,2026-04,207,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4B,2026-01..2026-03,2026-04,326,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5S,2026-01..2026-03,2026-04,253,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5P,2026-01..2026-03,2026-04,333,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5K,2026-01..2026-03,2026-04,2,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5N,2026-01..2026-03,2026-04,266,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5J,2026-01..2026-03,2026-04,137,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5E,2026-01..2026-03,2026-04,120,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5G,2026-01..2026-03,2026-04,103,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5H,2026-01..2026-03,2026-04,115,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5B,2026-01..2026-03,2026-04,252,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4Y,2026-01..2026-03,2026-04,349,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4X,2026-01..2026-03,2026-04,152,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5C,2026-01..2026-03,2026-04,128,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4R,2026-01..2026-03,2026-04,181,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4T,2026-01..2026-03,2026-04,174,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M4V,2026-01..2026-03,2026-04,316,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6B,2026-01..2026-03,2026-04,321,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6R,2026-01..2026-03,2026-04,437,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6L,2026-01..2026-03,2026-04,220,0.0,medium,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M5X,2026-01..2026-03,2026-04,11,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M6A,2026-01..2026-03,2026-04,171,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M8X,2026-01..2026-03,2026-04,183,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
fsa,M8Y,2026-01..2026-03,2026-04,329,0.0,low,0,"complaint_diversity, prior_complaint_count, dominant_type_share, type__Boulevard Plow Damage, type__Catch Basin - Blocked / Flooding",HistGradientBoostingClassifier,workload_density_v1,v1,2026-06-07T23:47:37,Decision support only. Not a final enforcement decision. Staff review required.
